Name,Label
Renter_Occp_HU_ACS_16_20,Number of renter occupied units
Schl_Enroll_3_4_ACS_16_20,Population age 3 and 4 that are enrolled in school
Self_Response_Rate_ACS_16_20,Self response rate of tract
Single_Unit_ACS_16_20,Housing units in structures containing only 1 housing unit
Sngl_Prns_HHD_ACS_16_20,Single Person households
state,Geography
State,FIPS State: 2-digit code
State_name,State Name
Tot_GQ_CEN_2020,Total Group Quarters Population in the 2020 Census
Tot_Housing_Units_ACS_16_20,Total Housing Units
Tot_Housing_Units_CEN_2020,Total Housing Units in the 2020 Census
Tot_Occp_Units_ACS_16_20,Total Occupied Housing Units
Tot_Occp_Units_CEN_2020,Total Occupied Housing Units in the 2020 Census
Tot_Population_ACS_16_20,Total Population
Tot_Population_CEN_2020,Total population in the 2020 Census
Tot_Prns_in_HHD_ACS_16_20,Total Persons in households
Tot_Vacant_Units_ACS_16_20,Total Vacant Housing Units
Tot_Vacant_Units_CEN_2020,Total vacant Housing Units in the 2020 Census
tract,Geography
Tract,Census Tract: 6-digit code
Two_Plus_Health_Ins_ACS_16_20,Number of people with two or more types of health insurance coverage
ucgid,Uniform Census Geography Identifier clause
US_Cit_Nat_ACS_16_20,Persons who are US naturalized citizens
